headline,author,source,date,wordcount,permalink,decade
NUS don calls for use of CPF to start a business,,Straits times,13-Apr-88,342,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19880413-1.2.44.aspx,80
NWC: Pay as well as last year's 8.2%,,Straits Times,3-Jun-89,897,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19890603-1.2.2.aspx,80
Singapore to be secretariat for Pacific economic group.,,Business Times Singapore,21-Sep-89,364,https://ezlibproxy1.ntu.edu.sg/login?url=https://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011129dl9l00gu1&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
Where regionalism meets internationalism,Zhou Mei,Business Times,21-Sep-89,1715,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19890921-1.2.25.2.aspx,80
"NWC is not needed, says visiting economist",Patrick Daniel,Straits Times,14-Nov-89,668,https://ezlibproxy1.ntu.edu.sg/login?url=https://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050805dlbe0075e&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
Telling the S'pore story to a wider audience,Patrick Daniel,Straits Times,14-Nov-89,1343,https://ezlibproxy1.ntu.edu.sg/login?url=https://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050805dlbe00735&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
Access to power and accountability : Twin challenges for Confucianism,,Straits Times,9-Jan-90,568,https://ezlibproxy1.ntu.edu.sg/login?url=https://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm19001w8&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
East Asia better model than West for China : Economist,Cheng Shoong Tat,Straits Times,11-Jan-90,708,https://ezlibproxy1.ntu.edu.sg/login?url=https://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm1b00257&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
'Confucian values helped in '85 recession',,Straits Times,13-Jan-90,658,https://ezlibproxy1.ntu.edu.sg/login?url=https://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm1d00ctb&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Kenneth James.<He can probably take comfort from the fact that the govern…,,Business Times Singapore,2-Mar-90,794,https://ezlibproxy1.ntu.edu.sg/login?url=https://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011127dm32006px&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
